model,fold,bin,n,mean_pred,positive_rate,abs_error,p_min,p_max
EXISTING_B30,2025-09-18,8,19102,0.8647245958005929,0.8703800649146686,0.005655469114075662,0.8269529938697815,0.9006797075271606
EXISTING_B30,2025-09-18,9,19102,0.9334609540997094,0.9414720971626008,0.008011143062891413,0.9006840586662292,0.9627453684806824
EXISTING_B30,2025-09-18,10,19102,0.9841583263978897,0.987435870589467,0.0032775441915773307,0.9627469182014465,0.9991987347602844
EXISTING_B30,2025-10-02,1,19370,0.1377532171157598,0.11223541559112028,0.02551780152463952,0.027807634323835373,0.20216941833496094
EXISTING_B30,2025-10-02,2,19370,0.2647629161939894,0.2453794527620031,0.019383463431986298,0.20217151939868927,0.3265044093132019
EXISTING_B30,2025-10-02,3,19370,0.3866247767616192,0.37996902426432627,0.006655752497292944,0.3265079855918884,0.44461846351623535
EXISTING_B30,2025-10-02,4,19370,0.49838059210998836,0.4912751677852349,0.007105424324753473,0.4446258842945099,0.5505174994468689
EXISTING_B30,2025-10-02,5,19369,0.5995792973557909,0.5946615726160359,0.004917724739754936,0.5505258440971375,0.6488736867904663
EXISTING_B30,2025-10-02,6,19369,0.6959262740920378,0.7019980381021219,0.006071764010084135,0.6488826870918274,0.7423129677772522
EXISTING_B30,2025-10-02,7,19369,0.7862156834942831,0.7937425783468429,0.007526894852559862,0.742320716381073,0.8284499645233154
EXISTING_B30,2025-10-02,8,19369,0.8664483718962175,0.8765036914657443,0.010055319569526766,0.8284538388252258,0.9029600620269775
EXISTING_B30,2025-10-02,9,19369,0.9349337232993614,0.9412463214414787,0.006312598142117265,0.902961015701294,0.9638698697090149
EXISTING_B30,2025-10-02,10,19369,0.9848077006957707,0.9872476637926584,0.002439963096887654,0.9638729691505432,0.999252200126648
EXISTING_B30,2025-10-16,1,19738,0.13596445339664776,0.10771101428716182,0.02825343910948594,0.029376469552516937,0.19952502846717834
EXISTING_B30,2025-10-16,2,19738,0.2632861755549008,0.2467321917114196,0.016553983843481196,0.19953462481498718,0.3250812292098999
EXISTING_B30,2025-10-16,3,19738,0.3852374180887158,0.3811936366399838,0.00404378144873202,0.325084388256073,0.444651335477829
EXISTING_B30,2025-10-16,4,19738,0.49845353058345027,0.4945283210051677,0.0039252095782825736,0.4446606934070587,0.5503900051116943
EXISTING_B30,2025-10-16,5,19738,0.6012000301644268,0.5961090282703415,0.00509100189408529,0.5503972172737122,0.6514368057250977
EXISTING_B30,2025-10-16,6,19738,0.6994979817770163,0.6966764616475833,0.0028215201294329306,0.6514369249343872,0.7468941807746887
EXISTING_B30,2025-10-16,7,19738,0.79133733636534,0.7953693383321512,0.004032001966811194,0.7469044327735901,0.8335614204406738
EXISTING_B30,2025-10-16,8,19738,0.8710905810338118,0.87678589522748,0.0056953141936681995,0.8335670828819275,0.9067295789718628
EXISTING_B30,2025-10-16,9,19738,0.9380502948730547,0.9450805552740906,0.007030260401035937,0.906730592250824,0.9660071134567261
EXISTING_B30,2025-10-16,10,19737,0.9856339037530103,0.9884480924152607,0.002814188662250361,0.9660096168518066,0.9992566108703613
