outer_fold,cell,n_donor,residual_mean,shrinkage,correction
2025-10-02,228,1574,1.109912373661043,0.07295819041438768,0.08097719830084739
2025-10-02,229,3323,0.5741825007789043,0.14247738284097244,0.0818080199840629
2025-10-02,232,5,3.0358097296431326,0.00024993751562109475,0.0007587627417253518
2025-10-02,233,3,0.7566573710275238,0.00014997750337449384,0.00011348158341661608
2025-10-02,234,8,1.1506950890040675,0.00039984006397441024,0.000460093998002426
2025-10-02,235,13,0.9077661798131472,0.0006495777744466097,0.000589664734800925
2025-10-02,236,11,0.9451315185251349,0.0005496976662835441,0.0005195365900642888
2025-10-02,237,9,-0.5781221881803189,0.0004497975910840122,-0.00026003796759572546
2025-10-02,238,18,0.5901142244917204,0.00089919072834449,0.0005306252393271539
2025-10-02,239,13,-0.5621608824669674,0.0006495777744466097,-0.0003651672149138348
2025-10-16,30,50932,-0.38556652391281104,0.7180398127784356,-0.27685211464398707
2025-10-16,31,43244,-0.8664878092858908,0.6837644677755993,-0.592473575750412
2025-10-16,32,35842,-1.3494162651744857,0.6418466387307045,-0.8661182940507846
2025-10-16,33,29501,-1.8096226138847866,0.5959677582271066,-1.078476732433993
2025-10-16,34,23420,-2.26013167170587,0.539382772915707,-1.2190760882393246
2025-10-16,35,17507,-2.722065263920527,0.46676620364198684,-1.2705680693059072
2025-10-16,36,12159,-3.209111448812847,0.3780901147423738,-1.2133333159027149
2025-10-16,37,7506,-3.727791585636468,0.27288591580018906,-1.0172618207586466
2025-10-16,38,3737,-4.330211082310873,0.15743354257067027,-0.681720470766977
2025-10-16,39,1028,-5.141425512717419,0.04888719802168537,-0.25134988715396167
2025-10-16,110,5798,3.0482980387813967,0.22474610434917436,0.6850931091113472
2025-10-16,111,12652,2.5830583632695987,0.38748009310302584,1.0008836950902538
2025-10-16,112,19070,2.156122195442557,0.4880982851292552,1.052399546124637
2025-10-16,113,24624,1.769835376937171,0.5518106848332736,0.9766140713898552
2025-10-16,114,29853,1.4144168255508285,0.5988205323651535,0.8469818364625776
2025-10-16,115,34808,1.1021931456244414,0.6350897679170924,0.6999915890544365
