feature,is_b1,mean_abs_shap,mean_shap,mean_value,std_value
w365_orders_per_buyday,False,0.003062199782774593,0.00011719455448731621,1.2612365056931973,0.7943131598102762
b1_searches_per_search_day_90d,True,0.003032924721421606,-0.00031415166756825304,4.308584427076578,2.8145332838396158
b1_cart_no_order_share_30d,True,0.002991543969851405,-0.00022059448169974545,0.468835228320472,0.39803412938036
b1_month_start_order_share_all,True,0.0029760521573901806,0.00011452239136584998,0.19752288195250556,0.19589553967001241
b1_order_gap_p90_all,True,0.002966682464406553,0.00044782505253163394,42.44303299809456,48.19015146886635
recency_search_to_cart_days,False,0.0029325677098326194,0.00048011275303916595,326.14950999999996,1704.7224250421943
gmv_search_sum_60d,False,0.0028594469848361604,-0.0003307555564842146,184.09397005204363,485.6701154843887
gmv_cat_mean_all,False,0.0028534349638050763,-0.00011078926794608863,0.5557838821865009,2.4386299282099366
w365_lgmv_std,False,0.002842436233296716,-0.0006527962921748151,0.7170766032272297,0.48050428082176466
has_cat_to_cart_mean_all,False,0.0028327277038664826,9.481232935422206e-05,0.03384963537832955,0.05474819695601134
b1_cart_no_order_share_90d,True,0.002765979134970998,0.00017517925688274635,0.554755071072895,0.33617736958846867
b1_payday_10_order_days_all,True,0.0027488084396649105,0.0005938999641342873,2.8499600000000003,4.093325434837271
has_search_to_cart_sum_30d,False,0.002741394363902078,-0.000579429183820354,3.99381,4.508021391165222
b1_active_gap_p90_all,True,0.0027275794840989,0.0005901423363445413,12.90078199750185,17.069709632089207
b1_payday_order_share_all,True,0.0026454535321655476,0.0004233406055580293,0.28675801777757703,0.23119175802635955
b1_cart_friction_score,True,0.0026076204847595708,0.0001311720830588721,1.7329133768066765,1.2046632015552865
b1_weekend_active_days_all,True,0.0025806999878239564,-0.0011428149827052672,29.99133,22.80419627034911
b1_cart_pressure_90d,True,0.0025656312410259896,-4.805735299903062e-05,0.657910613070745,0.7471874154605225
has_search_to_cart_sum_all,False,0.0025576079410574454,-0.0010027409617554938,36.81652,40.62891658148174
w180_buyday_rate,False,0.002541307876538726,-0.0006239108387690316,0.05317105677357875,0.06947522241462475
b1_order_gap_min_all,True,0.002534171450295687,-0.0002837900820791888,8.60132,29.96403093150627
w365_gmv,False,0.002526099945073779,-7.609211028362359e-05,940.2719424136882,2023.980149960858
b1_active_gap_mean_all,True,0.0024566205193573293,-0.00036365689454188367,5.993813502702713,8.409593347850521
b1_order_gmv_last_over_median,True,0.002455931810764191,-0.0004974856472325202,1.5517090407435532,12.831148733492359
post_order_cart_share_all,False,0.002429792103204955,-0.00032260701704955213,0.07586997190671624,0.16091763675520443
b1_order_gap_max_all,True,0.002377416678772154,-6.751817300626516e-05,61.53973,58.33472564181158
b1_order_gap_last_over_mean,True,0.002343578141029051,-0.00013385059405327337,1.6971199271804536,8.908560588525484
b1_active_gap_std_all,True,0.0023214463315618665,-0.00037713598636208,7.68152963210918,10.918385723889138
b1_weekend_order_days_all,True,0.0023048267666257887,0.00021144261707950707,4.68372,6.633607071840784
b1_order_gmv_max_over_median,True,0.0022596523252612685,-0.00014261347934077927,8.804452569675446,55.34386094689724
w90_orders_per_buyday,False,0.002253058499083967,0.0001277079865079276,1.10525554818511,0.9243194187413648
w180_orders_per_buyday,False,0.00213493891675986,4.621794401352387e-05,1.2098702774202823,0.86120061869109
b1_search_no_cart_days_30d,True,0.002084680600901959,6.893577535513485e-05,4.88067,4.153994766552149
b1_order_gmv_p75_all,True,0.002070416049687356,-0.0006104087779690921,52.60738418651141,105.64782497735408
to_cart_mean_all,False,0.002043787746323933,-0.0003939104722909702,0.8253428109106282,0.8589804499036807
days_last_order_to_last_cart,False,0.0020298110867285313,2.0189713099172992e-05,20.561349999999997,47.90874993527406
to_cart_sum_14d,False,0.001972630117176285,-5.5865454106291234e-05,5.8904700000000005,12.098072893943328
b1_pre_last_order_searches_7d,True,0.001959623767075972,-0.0007335161594623681,9.41582,16.20756493796454
b1_route_mixed_day_share_90d,True,0.001933633471555024,0.00022893261320484478,0.06850882212534548,0.08938096145488851
gmv_per_active_day_30d,False,0.001926067523247118,-0.00036176319797864566,7.634483338980399,27.67089837697638
b1_order_gmv_last_over_p75,True,0.001919928507768479,-0.0006587328435646643,0.8000527549830705,4.3198771415670905
searches_sum_60d,False,0.0018821443344000572,0.0002841655882172959,73.40102,102.29388696610734
w90_avg_order_value,False,0.0018786621737662864,-0.0005918105835596382,27.396872655879932,65.34192026925979
b1_pre_last_order_active_days_7d,True,0.0018517080778350753,-0.0001572704617357304,2.66274,2.2428623823948683
cat_to_cart_mean_all,False,0.001840512586297402,-0.0002581763711259332,0.06318878139202483,0.1718272638473256
w365_lgmv_mean,False,0.0018268785338490905,-0.00029177345519072805,2.807972562016472,1.2977568896672536
gmv_search_sum_14d,False,0.0018100569447703813,-0.0003594823681735478,41.10308943464035,165.85248951744524
post_order_search_days,False,0.0017428789355660539,-0.0009063009212293532,6.02815,10.693890491348682
b1_post_order_browser_value_score,True,0.0017303101885377226,-0.0004378564319597739,2.350267352699451,1.5538685896751248
b1_month_start_order_days_all,True,0.001684547492577966,0.00046691217654817055,3.8114600000000003,5.411545151128632
search_to_ord_mean_all,False,0.0016741609958287884,-0.0004573870817763636,0.19530753670442152,0.2653823915925029
search_sum_120d,False,0.0016681066165723922,-0.0005109449551503914,33.608999999999995,25.26232041359765
cat_to_ord_mean_all,False,0.0016422884033677047,4.2094847446825774e-05,0.0124619467677176,0.050191103113525565
b1_weekend_gmv_share_all,True,0.0016064720770310494,0.00034259977848838223,0.24550345442802773,0.2539377080647465
to_cart_sum_7d,False,0.001600060056262365,0.00023386360659940954,3.13087,6.964899883272608
gmv_cat_max_all,False,0.0015980819980188211,1.8075045880235828e-05,39.98590977673888,155.57575892764578
has_search_to_cart_mean_all,False,0.0015883658347625143,-0.000238172586881878,0.3033275336300768,0.16640230408963858
days_last_order_to_last_search,False,0.0015688067976127398,5.2801818779879805e-05,27.25685,178.85569246555667
